name, id, projected_points, cost
Cincinnati D/ST ,1,10.95,5600 
Seattle D/ST ,2,10.72,5500 
Cleveland D/ST ,3,10.18,4800 
Houston D/ST ,4,9.86,4800 
Washington D/ST ,5,9.40,4800 
Kansas City D/ST ,6,9.37,5300 
San Francisco D/ST ,7,9.21,5200 
Minnesota D/ST ,8,9.30,4900 
Indianapolis D/ST ,9,8.88,5200 
Denver D/ST ,10,7.24,4900 
Baltimore D/ST ,11,7.56,4900 
Philadelphia D/ST ,12,7.64,5000 
Dallas D/ST ,13,7.74,4700 
New York Giants D/ST ,14,7.13,4600 
Tampa Bay D/ST ,15,7.18,4800 
San Diego D/ST ,16,7.04,4700 
Miami D/ST ,17,7.35,5100 
Jacksonville D/ST ,18,6.68,4500 
Pittsburgh D/ST ,19,4.67,4800 
Arizona D/ST ,20,3.85,5100 
New England D/ST ,21,4.02,5100 
New York Jets D/ST ,22,3.63,4500 
St. Louis D/ST ,23,3.40,4600 
Oakland D/ST ,24,3.12,4500 
