name, id, projected_points, cost
DeMarco Murray ,1,19.99,9600 
Le'Veon Bell ,2,18.94,8700 
Jamaal Charles ,3,17.13,9000 
Marshawn Lynch ,4,16.45,8200 
Arian Foster ,5,16.64,9400 
Lamar Miller ,6,16.15,7300 
Andre Ellington ,7,14.99,7700 
Lesean McCoy ,8,12.35,7800 
Giovani Bernard ,9,12.41,8500 
Ronnie Hillman ,10,11.85,7200 
Denard Robinson ,11,11.52,6700 
Branden Oliver ,12,12.06,7000 
Alfred Morris ,13,11.26,6800 
Shane Vereen ,14,12.19,6600 
Justin Forsett ,15,11.38,6500 
Frank Gore ,16,10.73,7200 
Andre Williams ,17,10.10,6200 
Ahmad Bradshaw ,18,10.94,7500 
Jerick McKinnon ,19,10.55,6300 
Doug Martin ,20,9.72,6300 
Ben Tate ,21,8.87,6900 
Chris Ivory ,22,8.39,6700 
Jeremy Hill ,23,7.81,5200 
Darren McFadden ,24,8.33,6000 
Lorenzo Taliaferro ,25,7.10,6400 
Matt Asiata ,26,7.71,5700 
Tre Mason ,27,7.44,5400 
Trent Richardson ,28,6.85,5900 
Benny Cunningham ,29,6.51,5300 
Terrance West ,30,5.87,4800 
Darren Sproles ,31,7.58,6100 
Jonas Gray ,32,5.59,6000 
Carlos Hyde ,33,5.66,5800 
Zac Stacy ,34,5.79,6300 
Chris Johnson ,35,5.67,5700 
Bobby Rainey ,36,5.56,6200 
Isaiah Crowell ,37,5.16,4800 
LeGarrette Blount ,38,5.30,4700 
Knile Davis ,39,5.13,6400 
Joseph Randle ,40,4.72,4800 
Toby Gerhart ,41,4.70,4800 
Roy Helu ,42,5.28,5200 
Montee Ball ,43,4.47,6900 
Robert Turbin ,44,4.48,4700 
De'Anthony Thomas ,45,4.16,4800 
Alfred Blue ,46,3.94,5100 
Daniel Thomas ,47,3.61,4800 
James White ,48,2.87,4500 
Storm Johnson ,49,2.28,5300 
Lance Dunbar ,50,2.53,5000 
Bilal Powell ,51,1.74,4800 
Anthony Sherman ,52,1.49,4800 
Bernard Pierce ,53,1.33,5500 
Trey Watts ,54,1.31,4600 
Darrel Young ,55,1.23,4900 
Damien Williams ,56,1.25,4600 
Maurice Jones-Drew ,57,1.45,5100 
Cedric Peerman ,58,1.16,4600 
C.J. Anderson ,59,0.97,4900 
Kyle Juszczyk ,60,1.23,4800 
James Casey ,61,1.04,4500 
Dri Archer ,62,0.98,4500 
Silas Redd ,63,0.92,5400 
Juwan Thompson ,64,0.88,6500 
Robert Hughes ,65,0.97,4600 
Ronnie Brown ,66,0.95,4700 
