name, id, projected_points, cost
Rob Gronkowski ,1,14.03,7900 
Julius Thomas ,2,12.08,7800 
Jason Witten ,3,9.73,5700 
Antonio Gates ,4,9.33,7100 
Dwayne Allen ,5,8.67,6200 
Heath Miller ,6,8.72,5400 
Zach Ertz ,7,7.68,5400 
Jordan Reed ,8,7.87,5500 
Vernon Davis ,9,7.30,5700 
Travis Kelce ,10,7.27,5400 
Jared Cook ,11,6.79,4900 
Coby Fleener ,12,6.33,5100 
Larry Donnell ,13,6.62,5400 
Jace Amaro ,14,5.73,5100 
Jermaine Gresham ,15,5.59,5100 
Charles Clay ,16,5.01,4900 
Luke Willson ,17,4.99,5100 
Anthony Fasano ,18,4.98,5000 
Austin Seferian-Jenkins ,19,4.61,5000 
Troy Niklas ,20,3.39,4500 
Michael Palmer ,21,3.32,4800 
Gavin Escobar ,22,3.25,5300 
Daniel Fells ,23,3.22,5100 
John Carlson ,24,3.82,4600 
Gary Barnidge ,25,3.15,4500 
Niles Paul ,26,3.10,4900 
Clay Harbor ,27,3.69,5200 
Mychal Rivera ,28,3.62,5000 
Ladarius Green ,29,2.69,4800 
Tim Wright ,30,2.81,5800 
Garrett Graham ,31,3.17,4800 
Jacob Tamme ,32,2.76,4700 
Dion Sims ,33,2.32,4800 
Lance Kendricks ,34,2.51,4800 
MarQueis Gray ,35,2.12,4500 
Derek Carrier ,36,2.12,4600 
Jim Dray ,37,1.90,4900 
Matt Spaeth ,38,2.08,4500 
Jack Doyle ,39,1.66,4600 
Virgil Green ,40,1.58,4500 
Brandon Myers ,41,1.43,4600 
Crockett Gillmore ,42,0.89,4900 
Adrien Robinson ,43,0.90,4500 
