name, id, projected_points, cost
Antonio Brown ,1,19.20,9000 
Demaryius Thomas ,2,16.89,9200 
A.J. Green ,3,14.66,8400 
Dez Bryant ,4,14.90,8800 
Jeremy Maclin ,5,13.64,8400 
Steve Smith ,6,12.82,7200 
T.Y. Hilton ,7,12.53,8100 
Andrew Hawkins ,8,12.30,6400 
Emmanuel Sanders ,9,11.97,8200 
Reggie Wayne ,10,11.63,6800 
DeSean Jackson ,11,11.52,7800 
Rueben Randle ,12,12.06,6400 
Larry Fitzgerald ,13,11.33,6900 
Mike Wallace ,14,11.44,7200 
Odell Beckham ,15,10.61,6600 
Pierre Garcon ,16,11.96,6900 
Percy Harvin ,17,11.32,6400 
Julian Edelman ,18,11.75,6800 
Michael Floyd ,19,11.21,6500 
Brandon LaFell ,20,11.26,6900 
Keenan Allen ,21,11.20,6700 
Eric Decker ,22,10.82,6200 
Dwayne Bowe ,23,10.28,6200 
Vincent Jackson ,24,10.51,6700 
Torrey Smith ,25,9.48,6100 
Doug Baldwin ,26,10.39,6700 
Andre Johnson ,27,10.62,6900 
Mohamed Sanu ,28,9.92,7200 
Mike Evans ,29,9.95,6000 
Terrance Williams ,30,9.20,6800 
Malcom Floyd ,31,9.05,5600 
Michael Crabtree ,32,9.52,6700 
Anquan Boldin ,33,8.97,6300 
Wes Welker ,34,9.12,6300 
Allen Robinson ,35,9.72,6500 
Miles Austin ,36,8.43,4800 
Cecil Shorts ,37,9.08,6100 
DeAndre Hopkins ,38,8.40,6900 
Greg Jennings ,39,8.15,6000 
Andre Holmes ,40,7.63,6500 
Eddie Royal ,41,7.70,5900 
Jermaine Kearse ,42,7.33,4700 
James Jones ,43,7.54,5600 
Kenny Britt ,44,6.67,5300 
Cordarrelle Patterson ,45,6.94,6300 
Markus Wheaton ,46,6.35,5900 
Brian Hartline ,47,6.31,4900 
John Brown ,48,5.98,6400 
Steve Johnson ,49,5.26,5700 
Martavis Bryant ,50,5.19,6300 
Allen Hurns ,51,5.00,5000 
Donte Moncrief ,52,4.99,6200 
Riley Cooper ,53,5.30,5300 
Preston Parker ,54,4.47,4700 
Brandon Lloyd ,55,4.10,5300 
Louis Murphy ,56,4.46,6200 
Jarvis Landry ,57,4.59,5200 
Jarius Wright ,58,4.42,4900 
Travis Benjamin ,59,3.68,5900 
Lance Moore ,60,3.29,4900 
Jordan Matthews ,61,3.42,5900 
Chris Givens ,62,3.29,4600 
Marqise Lee ,63,3.16,4800 
Brandon Tate ,64,3.14,5400 
Ricardo Lockette ,65,2.79,4700 
Andre Roberts ,66,3.18,4900 
Jeremy Kerley ,67,2.77,4500 
Tavon Austin ,68,2.67,4900 
Cole Beasley ,69,2.35,4500 
Hakeem Nicks ,70,2.42,4900 
Justin Brown ,71,2.09,4500 
Danny Amendola ,72,2.07,4900 
Junior Hemingway ,73,1.89,4800 
Aaron Dobson ,74,2.00,4800 
Denarius Moore ,75,1.80,4500 
Keshawn Martin ,76,1.83,4500 
Brandon Gibson ,77,1.69,4500 
Devin Street ,78,1.44,4500 
Jacoby Jones ,79,1.50,4500 
Stedman Bailey ,80,1.36,4700 
Bruce Ellington ,81,1.01,4500 
Dwayne Harris ,82,1.05,4500 
Damaris Johnson ,83,0.94,5100 
Russell Shepard ,84,0.92,4500 
Chris Owusu ,85,0.94,4800 
Walt Powell ,86,0.90,4500 
Saalim Hakim ,87,0.90,4500 
